Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Italy,ITA,1.05456E+12,1.54223E+12,2.17317E+12,2.17238E+12,2.18738E+12,2.20026E+12,2.24092E+12,2.42067E+12,2.52522E+12,2.68707E+12,2.75695E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Jamaica,JAM,11533097219,16872854998,23059255171,23269052381,24133311549,24565823799,25415826989,26718138075,28035430606,29275762877,30053192134,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Japan,JPN,2.41653E+12,3.4043E+12,4.57319E+12,4.7467E+12,4.96705E+12,4.98657E+12,5.13504E+12,5.07524E+12,5.21007E+12,5.41684E+12,5.50433E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Jordan,JOR,15650418256,30413339132,72050912827,74340200697,79416620118,81884118517,87705169048,90248991291,97893384071,1.02218E+11,1.0624E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kazakhstan,KAZ,1.35211E+11,1.15107E+11,3.44049E+11,3.69966E+11,4.17452E+11,4.27478E+11,4.07416E+11,4.23833E+11,4.48473E+11,4.78233E+11,5.09458E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kenya,KEN,35028645239,51703788260,1.05263E+11,1.12204E+11,1.25972E+11,1.41101E+11,1.60966E+11,1.78316E+11,2.03207E+11,2.21309E+11,2.37712E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kiribati,KIR,91329588.97,133606262,183193721.9,195507202.4,207322984.1,209684581,233914133.8,248472521.8,255409849.8,267683591.2,279014514,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,South Korea,KOR,3.58069E+11,8.71501E+11,1.62528E+12,1.68456E+12,1.7269E+12,1.7926E+12,1.93359E+12,2.02697E+12,2.11152E+12,2.2541E+12,2.27578E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kosovo,XKX,..,6053784308,14726006657,15319686484,16009210622,16393220404,17123326573,17885970979,18860124253,20056718171,21299154810,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kuwait,KWT,..,1.14894E+11,2.47673E+11,2.76884E+11,2.75264E+11,2.5867E+11,1.81157E+11,1.76814E+11,2.06275E+11,2.13933E+11,2.1902E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kyrgyzstan,KGZ,11181454193,9129340048,18183659161,20287689142,23123731106,24986584384,25107317901,28459201788,31280403475,33246519089,35419714490,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Laos,LAO,4368170315,9752854228,26347634541,31202113958,34600073064,39000303252,41582719416,46849968684,50463792572,54922855200,58593991912,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Latvia,LVA,..,19019251562,40945372774,43549724123,45914345115,47459606719,49361752842,52339434716,55823072703,61229095363,63161816357,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Lebanon,LBN,10761643584,34400962174,76310623816,82065263275,88557943342,94101077691,98432919650,1.03936E+11,1.09026E+11,1.0953E+11,1.04176E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Lesotho,LSO,1385558711,2556091906,4665291216,4743502562,5318648250,5868106503,6370015346,6355787871,5820641497,5935442113,6001953371,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Liberia,LBR,..,2829657673,4393239184,4855466758,5689798756,6024575446,5778552811,6325435787,7126900130,7389764052,7361642885,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Libya,LBY,..,96675513749,71733711997,1.52651E+11,1.2558E+11,90996326485,78431959499,72119611548,87115614621,1.02742E+11,1.07393E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Lithuania,LTU,..,29569558410,69297881709,73809005494,79034122256,82647216574,83761417312,88700533710,95797278557,1.0504E+11,1.11519E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Luxembourg,LUX,11317652222,24155877363,47690524462,48646428611,51940075107,56353766041,59081030478,64406173773,67187250624,73152143778,77233180569,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Macao SAR, China",MAC,9311014594,14862289983,66297551189,75311301170,88690020681,90948517198,70510287446,70903935831,79017384059,85347565433,82906286640,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Madagascar,MDG,14068918370,20431382028,33666789094,34211243846,35256755127,36701697717,37486186736,39996977188,40514543473,43395930857,46384673275,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Malawi,MWI,4412425817,7589340383,15904043611,15919778301,17558046000,17576097211,17062379707,17635609751,18333705241,19375651228,20614924169,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Malaysia,MYS,1.22935E+11,2.99511E+11,6.21862E+11,6.68156E+11,6.91871E+11,7.34948E+11,7.50777E+11,7.83874E+11,8.29297E+11,8.90019E+11,9.46342E+11,..
